supply_air_temp,return_air_temp,room_air_temp,return_air_humidity,fan_speed,cooling_state,electric_reheat_state,filter_dp,cool_water_valve,fault_type,timestamp
18.74507122951685,22.364360476965945,21.643010539025557,47.79190496877256,93,1,0,197.61457450300006,80.63469702926727,0,2025-02-07 19:03:08.765348
17.792603548243225,22.31987883742422,22.389001073892693,40.30214891175409,84,0,0,66.71483251209413,90.12799886683479,0,2025-02-07 19:02:08.765354
18.97153280715104,20.306535241054977,21.805237877909715,57.96546130220254,73,1,0,197.86321951819846,49.73961569356587,0,2025-02-07 19:01:08.765356
20.284544784612038,22.504864712447844,23.22083609389224,50.54087993657362,43,0,0,74.85168497313587,98.67206290471721,0,2025-02-07 19:00:08.765357
17.648769937914995,24.09924362273262,25.394357062923824,56.99604521604707,34,0,0,120.93671954225776,51.61890057877115,0,2025-02-07 18:59:08.765358
17.648794564576228,21.088651821384808,21.45791568571759,41.19809402006727,54,1,0,100.64205194320026,79.0707791608025,0,2025-02-07 18:58:08.765359
20.368819223261088,24.57272397657589,25.001640995536828,44.549162209458416,79,1,0,193.31318728979295,36.19024158852088,0,2025-02-07 18:57:08.765360
19.151152093729362,23.73166223162651,21.436655855306224,45.187599904423614,31,0,0,122.82549632318404,94.12913163002156,0,2025-02-07 18:56:08.765361
17.295788421097573,21.898650017043444,21.30474557500623,47.73382989277576,39,1,0,53.45217751862681,0.0,3,2025-02-07 18:55:08.765361
18.813840065378947,22.78770554399323,24.637189236686428,56.057327447950925,31,0,1,83.25367014409832,100.0,3,2025-02-07 18:54:08.765362
17.304873460781305,25.39748271146155,24.843872756015234,47.73115747462985,89,1,1,114.62180691293017,10.851982880567467,0,2025-02-07 18:53:08.765363
17.301405369644616,24.100321720258798,24.702819873525307,44.09307059292654,74,0,0,151.4585611443481,89.08105511485485,0,2025-02-07 18:52:08.765364
18.36294340734905,23.013175482347222,20.368405183563716,41.29980520677537,37,1,0,134.28544975324235,80.95585124749371,0,2025-02-07 18:51:08.765365
